"","name","date","sentiment.value","Party"
"155","James Buchanan","March 04, 1857",1.15384615384615,"Democrat"
"156","James Buchanan","December 19, 1859",0.316363636363636,"Democrat"
"157","James Buchanan","March 01, 1861",-0.0476190476190476,"Democrat"
"158","Abraham Lincoln","June 16, 1858",-0.345679012345679,"Republican"
"159","Abraham Lincoln","March 04, 1861",-0.229357798165138,"Republican"
"160","Abraham Lincoln","November 19, 1863",-0.266666666666667,"Republican"
"161","Andrew Johnson","April 17, 1865",1.11111111111111,"National Union"
"162","Andrew Johnson","May 29, 1865",0.392857142857143,"National Union"
"163","Andrew Johnson","April 02, 1866",0.758620689655172,"National Union"
"164","Andrew Johnson","December 08, 1868",0.488372093023256,"National Union"
"165","Ulysses S. Grant","March 04, 1869",1.01960784313725,"Republican"
"166","Ulysses S. Grant","January 13, 1875",-1.20740740740741,"Republican"
"167","Ulysses S. Grant","December 05, 1876",1.04137931034483,"Republican"
"168","Rutherford B. Hayes","March 05, 1877",1.47727272727273,"Republican"
"169","Rutherford B. Hayes","December 03, 1877",1.16600790513834,"Republican"
"170","Rutherford B. Hayes","March 01, 1879",1.64556962025316,"Republican"
"171","Rutherford B. Hayes","December 06, 1880",1.7175572519084,"Republican"
"172","James A. Garfield","March 04, 1881",0.135338345864662,"Republican"
"173","Chester A. Arthur","December 10, 1884",1.05555555555556,"Republican"
"174","Chester A. Arthur","September 22, 1881",-0.21875,"Republican"
"175","Chester A. Arthur","April 04, 1882",0.787878787878788,"Republican"
"176","Chester A. Arthur","December 01, 1884",1.13793103448276,"Republican"
"177","Grover Cleveland","March 04, 1885",1.05405405405405,"Democrat"
"178","Grover Cleveland","March 04, 1893",0.564814814814815,"Democrat"
"179","Grover Cleveland","March 02, 1897",0.20253164556962,"Democrat"
"180","Benjamin Harrison","March 04, 1889",0.941176470588235,"Republican"
"181","Benjamin Harrison","June 04, 1889",-0.736842105263158,"Republican"
"182","Benjamin Harrison","December 03, 1889",0.912087912087912,"Republican"
"183","Benjamin Harrison","January 31, 1891",-1.16666666666667,"Republican"
"184","Benjamin Harrison","February 15, 1893",0.925925925925926,"Republican"
"185","William McKinley","April 11, 1898",-0.274285714285714,"Republican"
"186","William McKinley","March 04, 1901",0.715789473684211,"Republican"
"187","William McKinley","September 05, 1901",0.840425531914894,"Republican"
"188","Theodore Roosevelt","September 14, 1901",-0.142857142857143,"Republican"
"189","Theodore Roosevelt","March 04, 1905",0.666666666666667,"Republican"
"190","Theodore Roosevelt","January 08, 1906",0.26530612244898,"Republican"
"191","William Taft","January 14, 1910",0.971014492753623,"Republican"
"192","William Taft","March 04, 1909",0.938356164383562,"Republican"
"193","William Taft","November 17, 1909",0.674242424242424,"Republican"
"194","William Taft","December 03, 1912",1.51344086021505,"Republican"
"195","Woodrow Wilson","March 04, 1913",0.0533333333333333,"Democrat"
"196","Woodrow Wilson","April 16, 1917",0.782608695652174,"Democrat"
"197","Woodrow Wilson","January 08, 1918",1.56,"Democrat"
"198","Warren G. Harding","January 20, 1920",0.703703703703704,"Republican"
"199","Warren G. Harding","March 04, 1921",0.755395683453237,"Republican"
"200","Warren G. Harding","March 31, 1921",0.964285714285714,"Republican"
"201","Warren G. Harding","November 12, 1921",0.386363636363636,"Republican"
"202","Calvin Coolidge","December 06, 1923",1.1436170212766,"Republican"
"203","Calvin Coolidge","March 04, 1925",1.36065573770492,"Republican"
"204","Calvin Coolidge","October 20, 1925",0.118279569892473,"Republican"
"205","Calvin Coolidge","August 10, 1927",2.15909090909091,"Republican"
"206","Herbert Hoover","October 25, 1929",1,"Republican"
"207","Herbert Hoover","December 02, 1930",0.614583333333333,"Republican"
"208","Herbert Hoover","August 11, 1932",0.0272727272727273,"Republican"
"209","Franklin D. Roosevelt","March 04, 1933",0.329268292682927,"Democrat"
