name,date,sentiment.value
Martin Van Buren,"December 05, 1837",1.10502283105023
Martin Van Buren,"November 21, 1838",0.269230769230769
Martin Van Buren,"February 16, 1839",-0.245283018867925
William Harrison,"March 04, 1841",0.844036697247706
John Tyler,"April 09, 1841",0.492957746478873
John Tyler,"December 07, 1841",0.580808080808081
John Tyler,"August 18, 1842",1.05263157894737
John Tyler,"February 20, 1845",-0.358974358974359
James K. Polk,"May 11, 1846",-0.0833333333333333
James K. Polk,"June 10, 1846",0.636363636363636
James K. Polk,"August 14, 1848",0.188405797101449
Zachary Taylor,"April 22, 1850",1.22727272727273
Zachary Taylor,"March 05, 1849",1.3921568627451
Zachary Taylor,"December 04, 1849",1.08064516129032
Zachary Taylor,"January 23, 1850",1.06122448979592
Millard Fillmore,"August 06, 1850",1.26470588235294
Millard Fillmore,"December 02, 1850",0.73936170212766
Millard Fillmore,"February 19, 1851",-0.0131578947368421
Millard Fillmore,"December 06, 1852",1.01293103448276
Franklin Pierce,"March 04, 1853",0.833333333333333
Franklin Pierce,"May 15, 1854",1.08219178082192
Franklin Pierce,"January 24, 1856",0.142857142857143
James Buchanan,"January 08, 1861",-0.116883116883117
James Buchanan,"March 04, 1857",1.15384615384615
James Buchanan,"December 19, 1859",0.316363636363636
James Buchanan,"March 01, 1861",-0.0476190476190476
Abraham Lincoln,"June 16, 1858",-0.345679012345679
Abraham Lincoln,"March 04, 1861",-0.229357798165138
Abraham Lincoln,"November 19, 1863",-0.266666666666667
Andrew Johnson,"April 17, 1865",1.11111111111111
Andrew Johnson,"May 29, 1865",0.392857142857143
Andrew Johnson,"April 02, 1866",0.758620689655172
Andrew Johnson,"December 08, 1868",0.488372093023256
Ulysses S. Grant,"March 04, 1869",1.01960784313725
Ulysses S. Grant,"January 13, 1875",-1.20740740740741
Ulysses S. Grant,"December 05, 1876",1.04137931034483
Rutherford B. Hayes,"March 05, 1877",1.47727272727273
Rutherford B. Hayes,"December 03, 1877",1.16600790513834
Rutherford B. Hayes,"March 01, 1879",1.64556962025316
Rutherford B. Hayes,"December 06, 1880",1.7175572519084
James A. Garfield,"March 04, 1881",0.135338345864662
Chester A. Arthur,"December 10, 1884",1.05555555555556
Chester A. Arthur,"September 22, 1881",-0.21875
Chester A. Arthur,"April 04, 1882",0.787878787878788
Chester A. Arthur,"December 01, 1884",1.13793103448276
Grover Cleveland,"March 04, 1885",1.05405405405405
Grover Cleveland,"March 04, 1893",0.564814814814815
Grover Cleveland,"March 02, 1897",0.20253164556962
Benjamin Harrison,"March 04, 1889",0.941176470588235
Benjamin Harrison,"June 04, 1889",-0.736842105263158
Benjamin Harrison,"December 03, 1889",0.912087912087912
Benjamin Harrison,"January 31, 1891",-1.16666666666667
Benjamin Harrison,"February 15, 1893",0.925925925925926
William McKinley,"April 11, 1898",-0.274285714285714
William McKinley,"March 04, 1901",0.715789473684211
William McKinley,"September 05, 1901",0.840425531914894
Theodore Roosevelt,"September 14, 1901",-0.142857142857143
Theodore Roosevelt,"March 04, 1905",0.666666666666667
Theodore Roosevelt,"January 08, 1906",0.26530612244898
William Taft,"January 14, 1910",0.971014492753623
William Taft,"March 04, 1909",0.938356164383562
William Taft,"November 17, 1909",0.674242424242424
William Taft,"December 03, 1912",1.51344086021505
Woodrow Wilson,"March 04, 1913",0.0533333333333333
Woodrow Wilson,"April 16, 1917",0.782608695652174
Woodrow Wilson,"January 08, 1918",1.56
Warren G. Harding,"January 20, 1920",0.703703703703704
Warren G. Harding,"March 04, 1921",0.755395683453237
Warren G. Harding,"March 31, 1921",0.964285714285714
Warren G. Harding,"November 12, 1921",0.386363636363636
Calvin Coolidge,"December 06, 1923",1.1436170212766
Calvin Coolidge,"March 04, 1925",1.36065573770492
Calvin Coolidge,"October 20, 1925",0.118279569892473
Calvin Coolidge,"August 10, 1927",2.15909090909091
Herbert Hoover,"October 25, 1929",1
Herbert Hoover,"December 02, 1930",0.614583333333333
Herbert Hoover,"August 11, 1932",0.0272727272727273
Franklin D. Roosevelt,"March 04, 1933",0.329268292682927
Franklin D. Roosevelt,"March 09, 1937",0.272727272727273
Franklin D. Roosevelt,"December 08, 1941",-0.36
Harry S. Truman,"May 08, 1945",0.652173913043478
Harry S. Truman,"April 16, 1945",1.13207547169811
Harry S. Truman,"March 12, 1947",0.359550561797753
Harry S. Truman,"June 20, 1947",-0.342105263157895
Dwight D. Eisenhower,"January 20, 1953",1.25438596491228
Dwight D. Eisenhower,"January 05, 1957",1.19047619047619
Dwight D. Eisenhower,"January 17, 1961",0.189473684210526
